,CAAR,t_statistic,p_values
"(-10, -1)",1.44%***,5.8655,0.0
"(0, 1)",0.13%,0.5228,0.6016
"(0, 2)",-0.55%**,-2.2367,0.0262
"(0, 3)",-0.56%**,-2.2902,0.0229
"(0, 4)",-0.86%***,-3.4923,0.0006
"(0, 5)",-0.68%***,-2.7654,0.0061
"(0, 6)",-0.57%**,-2.3269,0.0208
"(0, 7)",-0.66%***,-2.6957,0.0075
"(0, 8)",-0.40%,-1.632,0.1039
"(0, 9)",-0.30%,-1.2208,0.2233
"(0, 10)",-0.33%,-1.3625,0.1743
"(-10, 10)",1.10%***,4.503,0.0
