,created_at,favorite_count,id_str,is_retweet,retweet_count,source,text
4097,Tue Apr 17 00:57:41 +0000 2018,0,986046000518303745,True,6651,Twitter for iPhone,"RT @IvankaTrump: Looking forward to traveling to Manchester, NH tomorrow with Sec @stevenmnuchin1 to celebrate the last #TaxDay under the o…"
4098,Tue Apr 17 00:56:44 +0000 2018,0,986045762227396610,True,5064,Twitter for iPhone,RT @GOP: Our entire RNC family offers prayers of comfort and peace for Barbara Bush and the entire Bush family.
4099,Tue Apr 17 00:56:41 +0000 2018,0,986045749489172480,True,7574,Twitter for iPhone,RT @GOPChairwoman: Comey’s misconduct once led both Republicans and Democrats to call for his firing. His reputation rehabilitation book to…
4100,Tue Apr 17 00:52:51 +0000 2018,0,986044788163084288,True,6963,Twitter for iPhone,"RT @GOPChairwoman: We’re in a prime position to defend our majorities in 2018. Let’s defy history. #MAGA #LeadRight
https://t.co/fo8g0pSjWQ"
4101,Mon Apr 16 12:31:02 +0000 2018,97741,985858100149309441,False,21561,Twitter for iPhone,Russia and China are playing the Currency Devaluation game as the U.S. keeps raising interest rates. Not acceptable!
4102,Mon Apr 16 12:25:19 +0000 2018,112636,985856662866202624,False,28889,Twitter for iPhone,"Comey drafted the Crooked Hillary exoneration long before he talked to her (lied in Congress to Senator G), then based his decisions on her poll numbers. Disgruntled, he, McCabe, and the others, committed many crimes!"
4103,Sun Apr 15 14:44:30 +0000 2018,141548,985529299905187840,False,29754,Twitter for iPhone,"Just hit 50% in the Rasmussen Poll, much higher than President Obama at same point. With all of the phony stories and Fake News, it’s hard to believe! Thank you America, we are doing Great Things."
4104,Sun Apr 15 13:07:10 +0000 2018,99162,985504808646971392,False,22407,Twitter for iPhone,"Slippery James Comey, a man who always ends up badly and out of whack (he is not smart!), will go down as the WORST FBI Director in history, by far!"
4105,Sun Apr 15 12:56:13 +0000 2018,103035,985502053345751040,False,24019,Twitter for iPhone,"Attorney Client privilege is now a thing of the past. I have many (too many!) lawyers and they are probably wondering when their offices, and even homes, are going to be raided with everything, including their phones and computers, taken. All lawyers are deflated and concerned!"
4106,Sun Apr 15 12:32:16 +0000 2018,102330,985496023555608576,False,22395,Twitter for iPhone,I never asked Comey for Personal Loyalty. I hardly even knew this guy. Just another of his many lies. His “memos” are self serving and FAKE!
4107,Sun Apr 15 12:19:42 +0000 2018,115575,985492862958698497,False,24048,Twitter for iPhone,"The Syrian raid was so perfectly carried out, with such precision, that the only way the Fake News Media could demean was by my use of the term “Mission Accomplished.” I knew they would seize on this but felt it is such a great Military term, it should be brought back. Use often!"
