,CAAR,t_statistic,p_values
"(-10, -1)",1.35%,1.3165,0.1893
"(0, 1)",0.56%,1.226,0.2214
"(0, 2)",-0.26%,-0.4599,0.646
"(0, 3)",-0.35%,-0.5335,0.5942
"(0, 4)",-0.49%,-0.6706,0.5031
"(0, 5)",-0.20%,-0.2501,0.8028
"(0, 6)",-0.23%,-0.2717,0.7861
"(0, 7)",-0.44%,-0.4747,0.6354
"(0, 8)",0.10%,0.0982,0.9219
"(0, 9)",0.43%,0.4224,0.6731
"(0, 10)",0.54%,0.5032,0.6153
"(-10, 10)",1.89%,1.2726,0.2044
