,CAAR,t_statistic,p_values
"(-10, -1)",1.42%***,5.7368,0.0
"(0, 1)",0.13%,0.5134,0.6082
"(0, 2)",-0.55%**,-2.2344,0.0264
"(0, 3)",-0.57%**,-2.3009,0.0223
"(0, 4)",-0.87%***,-3.4967,0.0006
"(0, 5)",-0.69%***,-2.7935,0.0056
"(0, 6)",-0.60%**,-2.409,0.0168
"(0, 7)",-0.70%***,-2.8351,0.005
"(0, 8)",-0.44%*,-1.7573,0.0802
"(0, 9)",-0.34%,-1.3825,0.1681
"(0, 10)",-0.40%,-1.6061,0.1096
"(-10, 10)",1.03%***,4.1306,0.0001
