,CAAR,t_statistic,p_values
"(-10, -1)",-2.68%***,-7.1223,0.0
"(0, 1)",-0.20%,-0.5435,0.5873
"(0, 2)",-0.66%*,-1.7583,0.08
"(0, 3)",-0.62%*,-1.6581,0.0986
"(0, 4)",-0.67%*,-1.7926,0.0743
"(0, 5)",-0.94%**,-2.4943,0.0133
"(0, 6)",-1.10%***,-2.929,0.0037
"(0, 7)",-1.04%***,-2.7687,0.0061
"(0, 8)",-0.84%**,-2.2461,0.0256
"(0, 9)",-0.47%,-1.253,0.2114
"(0, 10)",0.12%,0.3106,0.7564
"(-10, 10)",-2.56%***,-6.8117,0.0
