,0
504,Pacific
505,Packaging
506,Packard
507,Paper
508,Parcel
509,Parker-Hannifin
511,PayPal
512,Paychex
513,Payments
514,Payne
515,Pentair
516,People's
517,PepsiCo
518,PerkinElmer
519,Perrigo
521,Pfizer
522,Pharmaceuticals
523,Philip
524,Phillips
525,Photonics
526,Pinnacle
527,Pioneer
528,Platt
530,Polo
531,Power
532,Price
533,Principal
534,Processing
535,Procter
536,Products
537,Progressive
538,Prologis
540,Property
541,Prudential
542,Public
543,Pulte
544,QUALCOMM
545,Qorvo
546,Quanta
547,Quest
548,R.
549,Ralph
550,Raymond
551,Raytheon
552,Re
553,Real
555,Red
556,Regency
557,Regeneron
558,Regions
559,"Rentals,"
560,Republic
561,ResMed
562,Research
566,Restaurants
567,Robert
568,Robinson
569,Rockwell
570,Rollins
571,Roper
572,Ross
573,Rowe
574,Royal
575,S&P
576,SBA
577,SL
578,SVB
579,Sachs
580,Salesforce.com
581,Schein
582,Schlumberger
583,Schwab
586,Seagate
587,Sealed
588,Security
589,Sempra
590,Serv.
593,"Services,"
594,Sherwin-Williams
595,Simon
596,Sirona
597,Skyworks
598,Smith
599,Smucker
600,Snap-on
602,Soup
604,Southwest
605,Space
606,Squibb
607,Stanley
608,Starbucks
609,State
610,Storage
612,Street
613,Stryker
614,SunTrust
615,Supply
616,Surgical
617,Svc.Gp.
618,Symantec
619,Synchrony
620,Synopsys
621,Sysco
622,System
624,T.
625,TE
626,TJX
627,Take-Two
628,"Tapestry,"
629,Target
630,TechnipFMC
633,Teleflex
634,Texas
635,Textron
636,The
637,Therapeutics
638,Thermo
639,Third
640,Tiffany
641,Toledo
642,Tool
643,Torchmark
644,Total
645,Tower
646,Towers
647,Tractor
648,TransDigm
649,Transport
650,Travelers
651,Tree
652,TripAdvisor
654,"Trust,"
655,Twenty-First
656,"Twitter,"
657,Tyson
658,U.S.
659,UDR
660,Ulta
661,Under
662,Union
663,United
664,Universal
665,Unum
666,V.F.
667,Valero
668,Varco
669,Varian
670,Ventas
671,Verisign
672,Verisk
673,Verizon
674,Vertex
675,Viacom
676,Visa
677,Vornado
678,Vulcan
679,Wabtec
680,Walgreens
681,Walmart
682,Walt
683,Waste
684,Water
685,Waters
686,Watson
687,Wec
688,WellCare
689,Wells
690,Welltower
691,West
692,WestRock
693,Western
694,Weston
695,Weyerhaeuser
696,Whirlpool
697,Wholesale
698,Williams
699,Willis
700,Works
701,Worldwide
702,Wynn
703,Xcel
704,Xerox
705,Xilinx
706,Xylem
707,York
708,Yum!
709,Zimmer
710,Zions
711,Zoetis
712,a
713,eBay
714,of
