,created_at,tweets,mentioned_company
155,Tue Apr 02 11:45:26 +0000 2019,"....the best thing that ever happened to puerto rico is president donald j. trump. so many wonderful people, but with such bad island leadership and with so much money wasted. cannot continue to hurt our farmers and states with these massive payments, and so little appreciation!","Global Payments Inc., "
158,Tue Apr 02 03:11:44 +0000 2019,"....are great, but the politicians are incompetent or corrupt. puerto rico got far more money than texas &amp; florida combined, yet their government can’t do anything right, the place is a mess - nothing works. fema &amp; the military worked emergency miracles, but politicians like.....","American Water Works Company Inc, Illinois Tool Works, "
164,Mon Apr 01 14:43:14 +0000 2019,"no matter what { INFORMATION } is given to the crazed democrats from the no collusion mueller report, it will never be good enough. behind closed doors the dems are laughing!","Fidelity National Information Services, "
165,Mon Apr 01 13:41:23 +0000 2019,"the cost of obamacare is far too high for our great citizens. the deductibles, in many cases way over $7000, make it almost worthless or unusable. good things are going to happen! @senrickscott  @senatemajldr @senjohnbarrasso  @senbillcassidy","Citizens Financial Group, "
166,Mon Apr 01 13:03:28 +0000 2019,can you believe that the radical left democrats want to do our new and very important census report without the all important citizenship question. report would be meaningless and a { WASTE } of the $billions (ridiculous) that it costs to put together!,"Waste Management Inc., "
170,Mon Apr 01 12:07:45 +0000 2019,"now that the long awaited mueller report conclusions have been released, most democrats and others
have gone back to the pre-witch { HUNT } phase of their lives before collusion delusion took over. others are pretending that their former hero, bob mueller, no longer exists!","J. B. Hunt Transport Services, "
172,Sun Mar 31 19:39:13 +0000 2019,"“outrageous, it’s the adam schiff problem. people abusing the access to classified data to then go out in { PUBLIC } and make allegations that didn’t prove to be true. you look at a decision to essentially investigate a political rival. who made it?” { JAMES } freeman, @wsj","Public Serv. Enterprise Inc., Public Storage, Raymond James Financial Inc., "
181,Fri Mar 29 22:31:49 +0000 2019,"robert mueller was a hero to the radical left democrats, until he ruled that there was no collusion with russia (so ridiculous to even say!). after more than two years since the “insurance policy” statement was made by a dirty cop, i got the answers i wanted, the truth.....","Robert Half International, "
184,Fri Mar 29 15:37:09 +0000 2019,"....through their country and our southern border. mexico has for many years made a { FORTUNE } off of the u.s., far greater than border costs. if mexico doesn’t immediately stop all illegal immigration coming into the united states throug our southern border, i will be closing.....","Fortune Brands Home & Security, "
197,Thu Mar 28 12:30:04 +0000 2019,"very important that opec increase the flow of oil. world markets are fragile, { PRICE } of oil getting too high. thank you!","T. Rowe Price Group, "
212,Wed Mar 27 01:27:21 +0000 2019,"the fake news media has lost tremendous credibility with its corrupt coverage of the illegal democrat witch { HUNT } of your all time favorite duly elected president, me! t.v. ratings of cnn &amp; msnbc tanked last night after seeing the mueller report statement. @foxnews up big!","J. B. Hunt Transport Services, "
220,Tue Mar 26 14:49:07 +0000 2019,"“what we’re seeing on capitol hill right now is that the democrats are walking back any charges of collusion against the president.” @byronyork @billhemmer should never have been started, a disgrace!","Everest Re Group Ltd., "
221,Tue Mar 26 14:42:40 +0000 2019,"“what we’re seeing on { CAPITAL } hill right now is that the democrats are walking back any charges of collusion against the president.” @byronyork  @billhemmer should never have been started, a disgrace!","Capital One Financial, Everest Re Group Ltd., Pinnacle West Capital, "
227,Tue Mar 26 02:09:25 +0000 2019,"rt @scottabc7: the { STANLEY } cup and the caps with president trump in the oval office.

what a picture! https://t.co/lkwbz3f1yl","Morgan Stanley, Stanley Black & Decker, "
230,Tue Mar 26 02:05:36 +0000 2019,rt @bmcnally14: the #caps won a { STANLEY } cup so they get to spend the next hour here touring and meeting the president in a private event. h…,"Morgan Stanley, Stanley Black & Decker, "
239,Mon Mar 25 10:20:12 +0000 2019,"“the special counsel did not find that the trump campaign, or anyone associated with it, conspired or coordinated with the russian government in these efforts, despite multiple offers from russian-affiliated individuals to assist the trump campaign.”","Affiliated Managers Group Inc, "
240,Mon Mar 25 10:10:14 +0000 2019,"“no matter your ideologies or your loyalties, this is a good day for america. no american conspired to cooperate with russia in its efforts to interfere with the 2016 election, according to { ROBERT } mueller, and that is good.”  @bretbaier  @foxnews","Robert Half International, "
263,Thu Mar 21 02:04:05 +0000 2019,"“the reason we have the special counsel investigation is that { JAMES } comey (a dirty cop) leaked his memos to a friend, who leaked them to the press, on purpose.” @kennedynation totally illegal!","Raymond James Financial Inc., "
269,Wed Mar 20 20:51:41 +0000 2019,"great news from @ford! they are investing nearly $1 billion in flat rock, michigan for { AUTO } production on top of a $1 billion investment last month in a facility outside of chicago. companies are pouring back into the united states - they want to be where the action is!","Advance Auto Parts, Ford Motor, "
