,created_at,tweets,mentioned_company
1083,Fri Jan 11 23:21:41 +0000 2019,"drug prices declined in 2018, the first time in nearly { HALF } a century. during the first 19 months of my administration, americans saved $26 billion on prescription drugs. our policies to get cheaper generic drugs to market are working!","Robert Half International, Twenty-First Century Fox Class A, Twenty-First Century Fox Class B, "
1090,Fri Jan 11 12:40:30 +0000 2019,"h1-b holders in the united states can rest assured that changes are soon coming which will bring both simplicity and certainty to your stay, including a potential path to citizenship. we want to encourage talented and highly skilled people to pursue career options in the u.s.","News Corp. Class B, Twenty-First Century Fox Class B, "
1110,Thu Jan 10 03:55:30 +0000 2019,"rt @charliekirk11: this is why we need a wall

illegal immigration is a serious threat to our country

90% of all heroin comes across the b…","News Corp. Class B, Twenty-First Century Fox Class B, "
1113,Wed Jan 09 20:34:46 +0000 2019,"just left a meeting with chuck and nancy, a total { WASTE } of time. i asked what is going to happen in 30 days if i quickly open things up, are you going to approve border security which includes a wall or steel barrier? nancy said, no. i said bye-bye, nothing else works!","American Water Works Company Inc, Illinois Tool Works, Waste Management Inc., "
1115,Wed Jan 09 15:25:43 +0000 2019,"billions of dollars are sent to the state of california for forest fires that, with proper forest management, would never happen. unless they get their act together, which is unlikely, i have ordered fema to send no more money. it is a disgraceful situation in lives &amp; money!","Apartment Investment & Management, Waste Management Inc., "
1116,Wed Jan 09 14:36:05 +0000 2019,"billions of dollars are sent to the state of california for forrest fires that, with proper forrest management, would never happen. unless they get their act together, which is unlikely, i have ordered fema to send no more money. it is a disgraceful situation in lives &amp; money!","Apartment Investment & Management, Waste Management Inc., "
1127,Mon Jan 07 13:38:34 +0000 2019,"congressman adam smith, the new chairman of the house armed services committee, just stated, “yes, there is a provision in law that says a president can declare an emergency. it’s been done a number of times.” no doubt, but let’s get our deal done in congress!","A.O. Smith Corp, "
1142,Sun Jan 06 01:00:30 +0000 2019,"“jobs up big, plus 312,000. record number working. manufacturing best in 20 years (previous administration said this could not happen). hispanic unemployment lowest ever. { DOW } plus 747 (for day).” @drudge_report","Dow Inc., "
1145,Sat Jan 05 17:27:18 +0000 2019,"“former @nytimes editor jill abramson rips paper's ‘unmistakably anti-trump’ bias.”

ms. abramson is 100% correct. horrible and totally dishonest reporting on almost everything they write. hence the term fake news, enemy of the people, and opposition party!","International Paper, "
1154,Sat Jan 05 01:10:43 +0000 2019,"great new book by dr. { ROBERT } jeffress, “choosing the extraordinary life.” get it and enjoy!  @loudobbs","Robert Half International, "
1167,Thu Jan 03 14:36:57 +0000 2019,“maga list: 205 ‘historic results’ help trump make case for 2020 re-election” https://t.co/vtqnuwdhjb,"Everest Re Group Ltd., "
1176,Tue Jan 01 22:51:12 +0000 2019,washington examiner - “maga list: 205 ‘historic results’ help trump make case for 2020 re-election.”  true!,"Everest Re Group Ltd., "
1200,Mon Dec 31 14:38:52 +0000 2018,"i am the only person in america who could say that, “i’m bringing our great troops back home, with victory,” and get bad press. it is fake news and pundits who have failed for years that are doing the complaining. if i stayed in endless wars forever, they would still be unhappy!","Fortune Brands Home & Security, Home Depot, "
1204,Mon Dec 31 13:03:05 +0000 2018,"if anybody but donald trump did what i did in syria, which was an isis loaded mess when i became president, they would be a national hero. isis is mostly gone, we’re slowly sending our troops back { HOME } to be with their families, while at the same time fighting isis remnants......","Everest Re Group Ltd., Fortune Brands Home & Security, Home Depot, "
1206,Sun Dec 30 21:59:44 +0000 2018,"president and mrs. obama built/has a ten { FOOT } wall around their d.c. mansion/compound. i agree, totally necessary for their safety and security. the u.s. needs the same thing, slightly larger version!","Foot Locker Inc, "
1217,Sat Dec 29 15:42:50 +0000 2018,"the mueller angry democrats recently deleted approximately 19,000 text messages between fbi agent lisa page and her lover, agent peter s. these texts were asked for and invaluable to the truth of the witch { HUNT } hoax. this is a total obstruction of justice. all texts demanded!","J. B. Hunt Transport Services, "
1223,Thu Dec 27 23:23:36 +0000 2018,"cnn &amp; others within the fake news universe were going wild about my signing maga hats for our military in iraq and germany. if these brave young people ask me to sign their hat, i will sign. can you imagine my saying no? we brought or gave no hats as the fake news first reported!","Red Hat Inc., "
1224,Thu Dec 27 22:10:07 +0000 2018,"this isn’t about the wall, everybody knows that a wall will work perfectly (in israel the wall { WORKS } 99.9%). this is only about the dems not letting donald trump &amp; the republicans have a win. they may have the 10 senate votes, but we have the issue, border security. 2020!","American Water Works Company Inc, Illinois Tool Works, "
1236,Tue Dec 25 23:18:44 +0000 2018,"i hope everyone, even the fake news media, is having a great christmas! our country is doing very well. we are securing our borders, making great new trade deals, and bringing our troops back home. we are finally putting america first. merry christmas!  #maga","Fortune Brands Home & Security, Home Depot, "
1251,Mon Dec 24 04:54:00 +0000 2018,"president @rt_erdogan of turkey has very strongly informed me that he will eradicate whatever is left of isis in syria....and he is a man who can do it plus, turkey is right “next door.” our troops are coming home!","Fortune Brands Home & Security, Home Depot, "
1252,Mon Dec 24 04:26:22 +0000 2018,"“the president has been remarkable. i do not doubt that he will thrive in this new environment, and he will be a constant reminder of what populism is.” thank you to tammy bruce and steve hilton. presidential harassment has been with me from the beginning!","Hilton Worldwide Holdings Inc, "
1258,Sun Dec 23 20:20:22 +0000 2018,".....bob corker was responsible for giving us the horrible iran nuclear deal, which i ended, yet he badmouths me for wanting to bring our young people safely back home. bob wanted to run and asked for my endorsement. i said no and the game was over. #maga i love tennessee!","Fortune Brands Home & Security, Home Depot, "
1260,Sun Dec 23 19:45:22 +0000 2018,"we signed two pieces of major legislation this week, criminal justice reform and the farm bill. these are two big deals, but all the fake news media wants to talk about is “the mistake” of bringing our young people back { HOME } from the never ending wars. it all began 19 years ago!","Fortune Brands Home & Security, Home Depot, "
1262,Sun Dec 23 16:59:22 +0000 2018,"i just had a long and productive call with president @rt_erdogan of turkey. we discussed isis, our mutual involvement in syria, &amp; the slow &amp; highly coordinated pullout of u.s. troops from the area. after many years they are coming home. we also discussed heavily expanded trade.","Fortune Brands Home & Security, Home Depot, "
1263,Sun Dec 23 16:46:47 +0000 2018,"i am pleased to announce that our very talented deputy secretary of defense, patrick shanahan, will assume the title of acting secretary of defense starting january 1, 2019. patrick has a long list of accomplishments while serving as deputy, &amp; previously boeing. he will be great!","Boeing Company, "
1264,Sun Dec 23 14:17:54 +0000 2018,"the only way to stop drugs, gangs, human trafficking, criminal elements and much else from coming into our country is with a wall or barrier. drones and all of the rest are wonderful and lots of fun, but it is only a good old fashioned wall that works!","American Water Works Company Inc, Illinois Tool Works, "
1266,Sun Dec 23 01:59:29 +0000 2018,"if anybody but your favorite president, donald j. trump, announced that, after decimating isis in syria, we were going to bring our troops back { HOME } (happy &amp; healthy), that person would be the most popular hero in america. with me, hit hard instead by the fake news media. crazy!","Fortune Brands Home & Security, Home Depot, "
1273,Sat Dec 22 16:30:35 +0000 2018,"....going to be there for three months, and that was seven years ago - we never left. when i became president, isis was going wild. now isis is largely defeated and other local countries, including turkey, should be able to easily take care of whatever remains. we’re coming home!","Everest Re Group Ltd., Fortune Brands Home & Security, Home Depot, "
1279,Fri Dec 21 22:14:14 +0000 2018,a { DESIGN } of our steel slat barrier which is totally effective while at the same time beautiful! https://t.co/sgltxh0cu9,"Cadence Design Systems, "
1302,Thu Dec 20 19:22:19 +0000 2018,"so hard to believe that lindsey graham would be against saving soldier lives &amp; billions of $$$. why are we fighting for our enemy, syria, by staying &amp; killing isis for them, russia, iran &amp; other locals? time to focus on our country &amp; bring our youth back { HOME } where they belong!","Fortune Brands Home & Security, Home Depot, "
1305,Thu Dec 20 12:41:08 +0000 2018,"rt @realdonaldtrump: after historic victories against isis, it’s time to bring our great young people home! https://t.co/xonjfzqftp","Fortune Brands Home & Security, Home Depot, "
1310,Thu Dec 20 11:42:57 +0000 2018,"getting out of syria was no surprise. i’ve been campaigning on it for years, and six months ago, when i very publicly wanted to do it, i agreed to stay longer. russia, iran, syria &amp; others are the local enemy of isis. we were doing there work. time to come { HOME } &amp; rebuild. #maga","Fortune Brands Home & Security, Home Depot, "
1313,Thu Dec 20 05:04:05 +0000 2018,"col. jim carafano on @ingrahamangle “trump has made the middle east a better place. when trump came into office, isis was running amuck in the middle east. over a million refugees poured into { WESTERN } europe - none of that is happening today. that’s all due to trump.”","Western Digital, Western Union Co, "
1315,Wed Dec 19 23:10:35 +0000 2018,"after historic victories against isis, it’s time to bring our great young people home! https://t.co/xonjfzqftp","Fortune Brands Home & Security, Home Depot, "
1324,Wed Dec 19 02:07:01 +0000 2018,"america is the greatest country in the world and my job is to fight for all citizens, even those who have made mistakes. congratulations to the senate on the bi-partisan passing of a historic criminal justice reform bill....","Citizens Financial Group, "
1325,Wed Dec 19 01:13:30 +0000 2018,"....it will be beautiful and, at the same time, give our country the security that our { CITIZENS } deserve. it will go up fast and save us billions of dollars a month once completed!","Citizens Financial Group, "
1332,Tue Dec 18 13:22:29 +0000 2018,"....will never be proven and are likely false.”  thank you to michael isikoff, yahoo, for honesty. what this means is that the fisa warrants and the whole russian witch { HUNT } is a fraud and a hoax which should be ended immediately. also, it was paid for by crooked hillary &amp; dnc!","J. B. Hunt Transport Services, "
1336,Tue Dec 18 12:13:24 +0000 2018,"i hope the people over at the fed will read today’s wall street journal editorial before they make yet another mistake. also, don’t let the market become any more illiquid than it already is. stop with the 50 b’s. feel the market, don’t just go by meaningless numbers. good luck!","News Corp. Class B, Twenty-First Century Fox Class B, "
1338,Tue Dec 18 11:28:39 +0000 2018,"biggest outrage yet in the long, winding and highly conflicted mueller witch { HUNT } is the fact that 19,000 demanded text messages between peter strzok and his fbi lover, lisa page, were purposely &amp; illegally deleted. would have explained whole hoax, which is now under protest!","J. B. Hunt Transport Services, "
1339,Mon Dec 17 21:14:10 +0000 2018,today i am making good on my promise to defend our farmers &amp; ranchers from unjustified trade retaliation by foreign nations. i have authorized secretary perdue to implement the 2nd round of market facilitation payments. our economy is stronger than ever–we stand with our farmers!,"Global Payments Inc., "
1342,Mon Dec 17 13:27:16 +0000 2018,"it is incredible that with a very strong { DOLLAR } and virtually no inflation, the outside world blowing up around us, paris is burning and china way down, the fed is even considering yet another interest rate hike. take the victory!","Dollar General, Dollar Tree, "
1345,Sun Dec 16 20:56:33 +0000 2018,"....the russian witch { HUNT } hoax, started as the “insurance policy” long before i even got elected, is very bad for our country. they are entrapping people for misstatements, lies or unrelated things that took place many years ago. nothing to do with collusion. a democrat scam!","J. B. Hunt Transport Services, "
1346,Sun Dec 16 20:37:17 +0000 2018,"....a persecution of the president.”  daniel henninger, the wall street journal. thank you, people are starting to see and understand what this witch { HUNT } is all about. jeff sessions should be ashamed of himself for allowing this total hoax to get started in the first place!","J. B. Hunt Transport Services, "
1353,Sun Dec 16 14:39:50 +0000 2018,"remember, michael cohen only became a “rat” after the fbi did something which was absolutely unthinkable &amp; unheard of until the witch { HUNT } was illegally started. they broke into an attorney’s office! why didn’t they break into the dnc to get the server, or crooked’s office?","J. B. Hunt Transport Services, "
1354,Sun Dec 16 14:11:52 +0000 2018,"so where are all the missing text messages between fired fbi agents peter s and the lovely lisa page, his lover. just reported that they have been erased and wiped clean. what an outrage as the totally compromised and conflicted witch { HUNT } moves ever so slowly forward. want them!","J. B. Hunt Transport Services, "
1356,Sat Dec 15 16:45:12 +0000 2018,"wow, 19,000 texts between lisa page and her lover, peter s of the fbi, in charge of the russia hoax, were just reported as being wiped clean and gone. such a big story that will never be covered by the fake news. witch hunt!","J. B. Hunt Transport Services, "
1365,Fri Dec 14 22:18:15 +0000 2018,"i am pleased to announce that mick mulvaney, director of the office of { MANAGEMENT } &amp; budget, will be named acting white house chief of staff, replacing general john kelly, who has served our country with distinction. mick has done an outstanding job while in the administration....","Apartment Investment & Management, Waste Management Inc., "
1377,Thu Dec 13 16:08:16 +0000 2018,witch hunt!,"J. B. Hunt Transport Services, "
1389,Tue Dec 11 18:50:29 +0000 2018,"james comey just totally exposed his partisan stance by urging his fellow democrats to take back the white house in 2020. in other words, he is and has been a democrat. comey had no right heading the fbi at any time, but especially after his mind exploded!","Raymond James Financial Inc., "
1398,Tue Dec 11 02:28:25 +0000 2018,“former fbi director { JAMES } comey under fire for his testimony acknowledging he knew that the democrats paid for that phony trump dossier.” @loudobbs  details on tuesday night.,"Raymond James Financial Inc., "
1399,Tue Dec 11 02:11:21 +0000 2018,"james comey’s behind closed doors testimony reveals that “there was not evidence of campaign collusion” with russia when he left the fbi. in other words, the witch { HUNT } is illegal and should never have been started!","J. B. Hunt Transport Services, Raymond James Financial Inc., "
1400,Mon Dec 10 12:00:00 +0000 2018,"....which it was not (but even if it was, it is only a civil case, like obama’s - but it was done correctly by a lawyer and there would not even be a fine. lawyer’s liability if he made a mistake, not me). cohen just trying to get his sentence reduced. witch hunt!","J. B. Hunt Transport Services, "
1401,Mon Dec 10 11:46:11 +0000 2018,"“democrats can’t find a smocking gun tying the trump campaign to russia after { JAMES } comey’s testimony. no smocking gun...no collusion.” @foxnews  that’s because there was no collusion. so now the dems go to a simple private transaction, wrongly call it a campaign contribution,...","Raymond James Financial Inc., "
1404,Sun Dec 09 13:53:30 +0000 2018,leakin’ { JAMES } comey must have set a record for who lied the most to congress in one day. his friday testimony was so untruthful! this whole deal is a rigged fraud headed up by dishonest people who would do anything so that i could not become president. they are now exposed!,"Raymond James Financial Inc., "
1405,Sun Dec 09 13:38:22 +0000 2018,"on 245  occasions, former fbi director { JAMES } comey told house investigators he didn’t know, didn’t recall, or couldn’t remember things when asked. opened investigations on 4 americans (not 2) - didn’t know who signed off and didn’t know christopher steele. all lies!","Raymond James Financial Inc., "
1412,Sat Dec 08 16:01:39 +0000 2018,"“this is collusion illusion, there is no smoking gun here. at this late date, after all that we have gone through, after millions have been spent, we have no russian collusion. there is nothing impeachable here.” @geraldorivera  time for the witch { HUNT } to end!","J. B. Hunt Transport Services, "
1417,Sat Dec 08 12:34:04 +0000 2018,"the paris agreement isn’t working out so well for paris. protests and riots all over france. people do not want to pay large sums of money, much to { THIRD } world countries (that are questionably run), in order to maybe protect the environment. chanting “we want trump!” love france.","Fifth Third Bancorp, "
1420,Fri Dec 07 21:49:01 +0000 2018,it is being reported that leakin' { JAMES } comey was told by department of justice attorneys not to answer the most important questions. total bias and corruption at the highest levels of previous administration. force him to answer the questions under oath!,"Raymond James Financial Inc., "
1429,Fri Dec 07 13:39:36 +0000 2018,"it has been incorrectly reported that rudy giuliani and others will not be doing a counter to the mueller report. that is fake news. already 87 pages done, but obviously cannot complete until we see the final witch { HUNT } report.","J. B. Hunt Transport Services, "
1432,Fri Dec 07 11:53:34 +0000 2018,"....foundation be listed at the top of the report? will the scathing document written about lyin’ { JAMES } comey, by the man in charge of the case, rod rosenstein (who also signed the fisa warrant), be a big part of the report? isn’t rod therefore totally conflicted? will all of....","Raymond James Financial Inc., "
1434,Fri Dec 07 11:28:50 +0000 2018,"....will { ROBERT } mueller’s big time conflicts of interest be listed at the top of his republicans only report. will andrew weissman’s horrible and vicious prosecutorial past be listed in the report. he wrongly destroyed people’s lives, took down great companies, only to be........","Robert Half International, "
1435,Fri Dec 07 11:18:59 +0000 2018,"robert mueller and leakin’ lyin’ { JAMES } comey are best friends, just one of many mueller conflicts of interest. and bye the way, wasn’t the woman in charge of prosecuting jerome corsi (who i do not know) in charge of “legal” at the corrupt clinton foundation? a total witch hunt...","J. B. Hunt Transport Services, Raymond James Financial Inc., Robert Half International, "
1438,Fri Dec 07 03:07:18 +0000 2018,trish_regan:  “did the fbi follow protocol to obtain the fisa warrant? i don’t think so. the dossier was opposition { RESEARCH } funded by opponents. don’t use government resources to take down political foes. weaponizing government for gain.” is this really america? witch hunt!,"J. B. Hunt Transport Services, Lam Research, "
1439,Fri Dec 07 02:58:43 +0000 2018,"jerome corsi: ”this is not justice, this is not america. this is a political prosecution. the special prosecutor (counsel), to get this plea deal, demanded i lie and violate the law. they’re the criminals.” he is not alone. 17 angry dems. people forced to lie. sad!  @trish_regan","Everest Re Group Ltd., "
1443,Thu Dec 06 15:17:47 +0000 2018,"without the phony russia witch hunt, and with all that we have accomplished in the last almost two years (tax &amp; regulation cuts, judge’s, military, vets, etc.) my approval rating would be at 75% rather than the 50% just reported by rasmussen. it’s called presidential harassment!","J. B. Hunt Transport Services, "
1450,Wed Dec 05 13:19:46 +0000 2018,"very strong signals being sent by china once they returned { HOME } from their long trip, including stops, from argentina. not to sound naive or anything, but i believe president xi meant every word of what he said at our long and hopefully historic meeting. all subjects discussed!","Fortune Brands Home & Security, Home Depot, "
1451,Wed Dec 05 12:49:48 +0000 2018,.....china had agreed to start “immediately” buying u.s. products.” @business,"Air Products & Chemicals Inc, Maxim Integrated Products Inc, "
1452,Wed Dec 05 12:46:28 +0000 2018,"“china officially echoed president donald trump’s optimism over bilateral trade talks. chinese officials have begun preparing to restart imports of u.s. soybeans &amp; liquified { NATURAL } gas, the first sign confirming the claims of president donald trump and the white house that......","Pioneer Natural Resources, "
1456,Tue Dec 04 22:56:00 +0000 2018,i am glad that my friend @emmanuelmacron and the protestors in paris have agreed with the conclusion i reached two years ago. the paris agreement is fatally flawed because it raises the { PRICE } of energy for responsible countries while whitewashing some of the worst polluters....,"T. Rowe Price Group, "
1460,Tue Dec 04 15:03:41 +0000 2018,"....i am a tariff man. when people or countries come in to raid the great wealth of our nation, i want them to pay for the privilege of doing so. it will always be the best way to max out our economic power. we are right now taking in $billions in tariffs. make america rich again","American Electric Power, "
1462,Tue Dec 04 14:30:16 +0000 2018,"the negotiations with china have already started. unless extended, they will end 90 days from the date of our wonderful and very warm dinner with president xi in argentina. bob lighthizer will be working closely with steve mnuchin, larry kudlow, wilbur { ROSS } and peter navarro.....","Ross Stores, "
1465,Mon Dec 03 19:42:31 +0000 2018,congratulations to newly inaugurated { MEXICAN } president @lopezobrador_. he had a tremendous political victory with the great support of the { MEXICAN } people. we will work well together for many years to come!,"Chipotle Mexican Grill, "
1481,Sat Dec 01 05:50:09 +0000 2018,rt @realdonaldtrump: statement from president donald j. trump and first lady melania trump on the passing of former president george h.w. b…,"News Corp. Class B, Twenty-First Century Fox Class B, "
1489,Fri Nov 30 20:19:12 +0000 2018,to the great people of alaska. you have been hit hard by a “big one.” please follow the directions of the highly trained professionals who are there to help you. your federal government will spare no expense. god bless you all!,"Alaska Air Group Inc, "
1492,Fri Nov 30 09:59:03 +0000 2018,"....lightly looked at doing a building somewhere in russia. put up zero money, zero guarantees and didn’t do the project. witch hunt!","J. B. Hunt Transport Services, "
1496,Fri Nov 30 02:50:59 +0000 2018,"“this demonstrates the { ROBERT } mueller and his partisans have no evidence, not a whiff of collusion, between trump and the russians. russian project legal. trump { TOWER } meeting (son don), perfectly legal. he wasn’t involved with hacking.”     gregg jarrett.  a total witch hunt!","American Tower Corp., J. B. Hunt Transport Services, Robert Half International, "
1498,Fri Nov 30 00:04:23 +0000 2018,"as rnc chair ronna mcdaniel oversaw history defying gains in the senate and unprecedented fundraising strength. i have asked her to serve another term for my 2020 re-elect, because there is no one better for the job!","Everest Re Group Ltd., "
1500,Thu Nov 29 22:43:12 +0000 2018,"with all of the new books coming out you can't forget two of the great originals written by @greggjarrett and @judgejeanine pirro. their books both went to #1. go get them now, the phony witch { HUNT } is well explained!","J. B. Hunt Transport Services, "
1503,Thu Nov 29 22:14:21 +0000 2018,".@stephenmoore and { ARTHUR } laffer, two very talented men, have just completed an incredible book on my economic policies or, as they call it, #trumponomics....","Arthur J. Gallagher & Co., "
1504,Thu Nov 29 22:03:52 +0000 2018,".@stevescalise has written an absolutely fascinating book (back in the game) on the world of d.c. politics, and more. he has experienced so much, in a short period of time. few people have had his bravery or courage, and he has come all the way back. a big { POWER } and great person!","American Electric Power, "
1508,Thu Nov 29 12:16:12 +0000 2018,"when will this illegal joseph mccarthy style witch hunt, one that has shattered so many innocent lives, ever end-or will it just go on forever? after wasting more than $40,000,000 (is that possible?), it has proven only one thing-there was no collusion with russia. so ridiculous!","J. B. Hunt Transport Services, "
1510,Thu Nov 29 11:37:14 +0000 2018,"general { MOTORS } is very counter to what other auto, and other, companies are doing. big steel is opening and renovating plants all over the country. { AUTO } companies are pouring into the u.s., including bmw, which just announced a major new plant. the u.s.a. is booming!","Advance Auto Parts, General Motors, "
1511,Thu Nov 29 04:39:03 +0000 2018,so much happening with the now discredited witch hunt. this total hoax will be studied for years!,"J. B. Hunt Transport Services, "
1513,Wed Nov 28 23:32:11 +0000 2018,"on behalf of @flotus melania and the entire trump family, i want to wish you all a very merry christmas! may this christmas season bring peace to your hearts, warmth to your homes, cheer to your spirits and joy to the world! #nctl2018?? https://t.co/xnmjq5jdsu","Pulte Homes Inc., "
1514,Wed Nov 28 16:09:47 +0000 2018,"steel dynamics announced that it will build a brand new 3 million ton steel mill in the { SOUTHWEST } that will create 600 good-paying u.s. jobs. steel jobs are coming back to america, just like i predicted. congratulations to steel dynamics!","Southwest Airlines, "
1515,Wed Nov 28 14:49:31 +0000 2018,".....and g.m. would not be closing their plants in ohio, michigan &amp; maryland. get smart congress. also, the countries that send us cars have taken advantage of the u.s. for decades. the president has great { POWER } on this issue - because of the g.m. event, it is being studied now!","American Electric Power, "
1517,Wed Nov 28 14:32:20 +0000 2018,rt @charliekirk11: wow - if a conservative said this they would be boycotted and not allowed back in the { PUBLIC } arena — hillary said “all b…,"News Corp. Class B, Public Serv. Enterprise Inc., Public Storage, Twenty-First Century Fox Class B, "
1524,Wed Nov 28 13:39:38 +0000 2018,"while the disgusting fake news is doing everything within their { POWER } not to report it that way, at least 3 major players are intimating that the angry mueller gang of dems is viciously telling witnesses to lie about facts &amp; they will get relief. this is our joseph mccarthy era!","American Electric Power, "
1525,Wed Nov 28 03:42:08 +0000 2018,congratulations to senator cindy hyde-smith on your big win in the great state of mississippi. we are all very proud of you!,"A.O. Smith Corp, "
1527,Wed Nov 28 00:31:37 +0000 2018,"the mueller witch { HUNT } is a total disgrace. they are looking at supposedly stolen crooked hillary clinton emails (even though they don’t want to look at the dnc server), but have no interest in the emails that hillary deleted &amp; acid washed after getting a congressional subpoena!","J. B. Hunt Transport Services, "
1528,Tue Nov 27 19:05:39 +0000 2018,....for { ELECTRIC } cars. general { MOTORS } made a big china bet years ago when they built plants there (and in mexico) - don’t think that bet is going to pay off. i am here to protect america’s workers!,"American Electric Power, Emerson Electric Company, General Electric, General Motors, "
1529,Tue Nov 27 19:05:39 +0000 2018,"very disappointed with general { MOTORS } and their ceo, mary barra, for closing plants in ohio, michigan and maryland. nothing being closed in mexico &amp; china. the u.s. saved general motors, and this is the thanks we get! we are now looking at cutting all @gm subsidies, including....","General Motors, "
1530,Tue Nov 27 13:32:57 +0000 2018,polls are open in mississippi. we need cindy hyde-smith in washington. go out and vote. thanks!,"A.O. Smith Corp, "
1531,Tue Nov 27 13:07:23 +0000 2018,"....terrible gang of angry democrats. look at their past, and look where they come from. the now $30,000,000 witch { HUNT } continues and they’ve got nothing but ruined lives. where is the server? let these terrible people go back to the clinton foundation and “justice” department!","J. B. Hunt Transport Services, "
1533,Tue Nov 27 12:30:37 +0000 2018,"the phony witch { HUNT } continues, but mueller and his gang of angry dems are only looking at one side, not the other. wait until it comes out how horribly &amp; viciously they are treating people, ruining lives for them refusing to lie. mueller is a conflicted prosecutor gone rogue....","J. B. Hunt Transport Services, "
1539,Mon Nov 26 19:47:29 +0000 2018,"....and false way. something has to be done, including the possibility of the united states starting our own { WORLDWIDE } network to show the world the way we really are, great!","C. H. Robinson Worldwide, Hilton Worldwide Holdings Inc, "
1541,Mon Nov 26 19:45:16 +0000 2018,"on the ten-year anniversary of the mumbai terror attack, the u.s. stands with the people of india in their { QUEST } for justice. the attack killed 166 innocents, including six americans. we will never let terrorists win, or even come close to winning!","Quest Diagnostics, "
1547,Sun Nov 25 20:39:26 +0000 2018,clinton foundation donations drop 42% - which shows that they illegally played the { POWER } game. they monetized their political influence through the foundation. “during her tenure the state department was put in the service of the clinton foundation.”  andrew mccarthy,"American Electric Power, "
1553,Sun Nov 25 13:16:56 +0000 2018,the large and violent french protests don’t take into account how badly the united states has been treated on trade by the european union or on fair and reasonable { PAYMENTS } for our great military protection. both of these topics must be remedied soon.,"Global Payments Inc., "
1554,Sun Nov 25 12:30:51 +0000 2018,"i will be in gulfport and tupelo, mississippi, on monday night doing two rallies for senator hyde-smith, who has a very important election on tuesday. she is an outstanding person who is strong on the border, crime, military, our great vets, healthcare &amp; the 2nd a. needed in d.c.","A.O. Smith Corp, "
1560,Fri Nov 23 23:48:19 +0000 2018,"i am extremely happy and proud of the job being done by @ustreasury secretary @stevenmnuchin1. the fake news likes to write stories to the contrary, quoting phony sources or jealous people, but they aren’t true. they never like to ask me for a quote b/c it would kill their story.","News Corp. Class B, Twenty-First Century Fox Class B, "
1573,Thu Nov 22 00:23:09 +0000 2018,brutal and extended cold blast could shatter all records - whatever happened to { GLOBAL } warming?,"Cboe Global Markets, Global Payments Inc., "
1577,Wed Nov 21 21:42:30 +0000 2018,"there are a lot of criminals in the caravan. we will stop them. catch and detain! judicial activism, by people who know nothing about security and the safety of our citizens, is putting our country in great danger. not good!","Citizens Financial Group, "
1588,Tue Nov 20 04:19:18 +0000 2018,i hope the { DISCOVERY } and eventual recovery of the argentine submarine san juan brings needed closure to the wonderful families of those brave missing sailors. i look forward to hearing more from my friend president @mauriciomacri in argentina later this month.,"Discovery Inc. Class A, Discovery Inc. Class C, "
1589,Tue Nov 20 02:15:22 +0000 2018,rt @flotus: the @whitehouse is getting ready for the christmas season! thank you to the { SMITH } family &amp; the national christmas tree associat…,"A.O. Smith Corp, "
1600,Sun Nov 18 18:42:59 +0000 2018,"the mayor of tijuana, mexico, just stated that “the city is ill-prepared to handle this many migrants, the backlog could last 6 months.” likewise, the u.s. is ill-prepared for this invasion, and will not stand for it. they are causing crime and big problems in mexico. go home!","Fortune Brands Home & Security, Home Depot, "
1620,Thu Nov 15 20:43:42 +0000 2018,"it is our sacred duty to support america’s service members every single day they wear the uniform – and every day after when they return { HOME } as veterans. together we will honor those who defend us, we will cherish those who protect us, and we will celebrate the amazing heroes... https://t.co/kovcij4fwu","Fortune Brands Home & Security, Home Depot, "
1622,Thu Nov 15 20:34:20 +0000 2018,"it was my great honor to { HOST } a @whitehouse conference on supporting veterans &amp; military families...

to everyone here today who has served our country in uniform, &amp; to every veteran &amp; military family across our land, i want to { EXPRESS } the eternal gratitude of our entire nation! https://t.co/mk8juatgfk","American Express Co, Host Hotels & Resorts, "
1626,Thu Nov 15 12:32:03 +0000 2018,"....care how many lives the ruin. these are angry people, including the highly conflicted bob mueller, who worked for obama for 8 years. they won’t even look at all of the bad acts and crimes on the other side. a total witch { HUNT } like no other in american history!","J. B. Hunt Transport Services, "
1635,Tue Nov 13 21:20:48 +0000 2018,"it was my great honor to { HOST } a celebration of diwali, the hindu festival of lights, in the roosevelt room at the @whitehouse this afternoon. very, very special people! https://t.co/kqk7ivpsfo https://t.co/tylbabg4jf","Host Hotels & Resorts, "
1648,Mon Nov 12 18:21:04 +0000 2018,"hopefully, saudi arabia and opec will not be cutting oil production. oil prices should be much lower based on supply!","Tractor Supply Company, "
1649,Mon Nov 12 18:13:10 +0000 2018,"american cable association has big problems with comcast. they say that { COMCAST } routinely violates antitrust laws. “these guys are acting much worse, and have much more potential for damage to consumers, than anything at&amp;t-time warner would do.” charlie gasparino","Comcast Corp., "
1662,Sun Nov 11 09:40:50 +0000 2018,"with proper forest management, we can stop the devastation constantly going on in california. get smart!","Apartment Investment & Management, Waste Management Inc., "
1669,Sat Nov 10 08:08:52 +0000 2018,"there is no reason for these massive, deadly and costly forest fires in california except that forest { MANAGEMENT } is so poor. billions of dollars are given each year, with so many lives lost, all because of gross mismanagement of the forests. remedy now, or no more fed payments!","Apartment Investment & Management, Global Payments Inc., Waste Management Inc., "
